Date,burials
2020-11-30,40
2020-12-01,42
2020-12-02,33
2020-12-03,46
2020-12-04,43
2020-12-05,33
2020-12-06,31
2020-12-07,38
2020-12-08,34
2020-12-09,32
2020-12-10,39
2020-12-11,41
2020-12-12,29
2020-12-13,36
2020-12-14,39
2020-12-15,44
2020-12-16,39
2020-12-17,48
2020-12-18,45
2020-12-19,39
2020-12-20,47
2020-12-21,51
2020-12-22,39
2020-12-23,42
2020-12-24,57
2020-12-25,42
2020-12-26,35
2020-12-27,49
2020-12-28,52
2020-12-29,63
2020-12-30,59
2020-12-31,57
2021-01-01,58
2021-01-02,76
2021-01-03,72
2021-01-04,66
2021-01-05,91
2021-01-06,110
2021-01-07,112
2021-01-08,113
2021-01-09,130
2021-01-10,144
2021-01-11,150
2021-01-12,166
2021-01-13,198
2021-01-14,186
2021-01-15,213
2021-01-16,202
2021-01-17,184
2021-01-18,179
2021-01-19,177
2021-01-20,158
2021-01-21,179
2021-01-22,201
2021-01-23,194
2021-01-24,162
2021-01-25,141
2021-01-26,169
2021-01-27,171
2021-01-28,144
2021-01-29,174
2021-01-30,150
2021-01-31,143
2021-02-01,156
2021-02-02,155
2021-02-03,146
2021-02-04,127
2021-02-05,125
2021-02-06,146
2021-02-07,142
2021-02-08,89
2021-02-09,125
2021-02-10,115
2021-02-11,105
2021-02-12,129
2021-02-13,95
2021-02-14,104
2021-02-15,102
2021-02-16,106
2021-02-17,94
2021-02-18,82
2021-02-19,95
2021-02-20,97
2021-02-21,93
2021-02-22,82
2021-02-23,85
2021-02-24,87
2021-02-25,58
2021-02-26,73
2021-02-27,64
2021-02-28,72
2021-03-01,71
2021-03-02,58
2021-03-03,63
2021-03-04,46
2021-03-05,58
2021-03-06,50
2021-03-07,44
2021-03-08,55
2021-03-09,54
2021-03-10,49
2021-03-11,57
2021-03-12,46
2021-03-13,39
2021-03-14,42
2021-03-15,59
2021-03-16,47
2021-03-17,63
2021-03-18,47
2021-03-19,34
2021-03-20,52
2021-03-21,47
2021-03-22,47
2021-03-23,48
2021-03-24,40
2021-03-25,39
2021-03-26,43
2021-03-27,41
2021-03-28,44
2021-03-29,46
2021-03-30,40
2021-03-31,32
2021-04-01,38
2021-04-02,32
2021-04-03,43
2021-04-04,31
2021-04-05,32
2021-04-06,33
2021-04-07,48
2021-04-08,32
2021-04-09,53
2021-04-10,37
2021-04-11,38
2021-04-12,33
2021-04-13,55
2021-04-14,38
2021-04-15,39
2021-04-16,39
2021-04-17,33
2021-04-18,40
2021-04-19,34
2021-04-20,43
2021-04-21,42
2021-04-22,34
2021-04-23,38
2021-04-24,41
2021-04-25,36
2021-04-26,45
2021-04-27,43
2021-04-28,32
2021-04-29,34
2021-04-30,33
2021-05-01,28
2021-05-02,21
2021-05-03,46
2021-05-04,NA
2021-05-05,NA
2021-05-06,NA
2021-05-07,NA
2021-05-08,NA
2021-05-09,NA
2021-05-10,NA
2021-05-11,NA
2021-05-12,NA
2021-05-13,NA
2021-05-14,NA
2021-05-15,NA
2021-05-16,NA
2021-05-17,NA
2021-05-18,NA
2021-05-19,NA
2021-05-20,NA
2021-05-21,NA
2021-05-22,NA
2021-05-23,NA
2021-05-24,NA
2021-05-25,NA
2021-05-26,NA
2021-05-27,NA
2021-05-28,NA
2021-05-29,NA
2021-05-30,NA
2021-05-31,NA
2021-06-01,NA
2021-06-02,NA
2021-06-03,NA
2021-06-04,NA
2021-06-05,NA
2021-06-06,NA
2021-06-07,NA
2021-06-08,NA
2021-06-09,NA
2021-06-10,NA
2021-06-11,NA
2021-06-12,NA
2021-06-13,NA
2021-06-14,NA
2021-06-15,NA
2021-06-16,NA
2021-06-17,NA
2021-06-18,NA
2021-06-19,NA
2021-06-20,NA
